timestamp,open,high,low,close,volume,symbol
2025-09-01T09:30:00-04:00,6474.0,6474.25,6471.25,6471.75,651,ES
2025-09-01T09:31:00-04:00,6471.5,6472.25,6467.75,6468.25,935,ES
2025-09-01T09:32:00-04:00,6468.5,6470.0,6468.25,6468.5,566,ES
2025-09-01T09:33:00-04:00,6468.75,6471.25,6468.75,6470.5,669,ES
2025-09-01T09:34:00-04:00,6470.75,6471.75,6470.25,6471.0,617,ES
2025-09-01T09:35:00-04:00,6471.0,6472.5,6471.0,6472.0,428,ES
2025-09-01T09:36:00-04:00,6472.25,6473.0,6472.0,6472.75,202,ES
2025-09-01T09:37:00-04:00,6473.0,6473.25,6472.0,6472.75,213,ES
2025-09-01T09:38:00-04:00,6472.5,6473.25,6472.5,6473.25,128,ES
2025-09-01T09:39:00-04:00,6473.0,6474.75,6473.0,6474.5,274,ES
2025-09-01T09:40:00-04:00,6474.25,6475.75,6473.5,6475.25,325,ES
2025-09-01T09:41:00-04:00,6475.5,6475.5,6474.75,6475.5,125,ES
2025-09-01T09:42:00-04:00,6475.25,6475.5,6474.5,6475.25,257,ES
2025-09-01T09:43:00-04:00,6475.25,6475.75,6474.75,6475.75,135,ES
2025-09-01T09:44:00-04:00,6475.5,6476.0,6475.25,6475.75,151,ES
2025-09-01T09:45:00-04:00,6475.5,6476.0,6475.5,6476.0,204,ES
2025-09-01T09:46:00-04:00,6476.0,6476.5,6475.5,6476.5,287,ES
2025-09-01T09:47:00-04:00,6476.25,6476.25,6475.0,6476.0,321,ES
2025-09-01T09:48:00-04:00,6476.0,6477.0,6476.0,6477.0,228,ES
2025-09-01T09:49:00-04:00,6477.25,6477.75,6477.0,6477.25,235,ES
2025-09-01T09:50:00-04:00,6477.25,6478.0,6477.0,6477.5,383,ES
2025-09-01T09:51:00-04:00,6477.5,6477.75,6477.0,6477.25,129,ES
2025-09-01T09:52:00-04:00,6477.5,6478.25,6477.25,6478.0,105,ES
2025-09-01T09:53:00-04:00,6478.0,6479.0,6478.0,6478.5,322,ES
2025-09-01T09:54:00-04:00,6478.75,6478.75,6478.0,6478.25,128,ES
2025-09-01T09:55:00-04:00,6478.25,6478.25,6477.25,6478.0,218,ES
2025-09-01T09:56:00-04:00,6478.25,6478.5,6478.0,6478.5,132,ES
